Customer ID,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Population
8779-QRDMV,3,Churned,Yes,1,91,5433,Competitor,Competitor offered more data,No,0,1,,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,Male,78,No,Yes,No,No,0,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,68701
7495-OOKFY,3,Churned,Yes,1,69,5302,Competitor,Competitor made better offer,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,Female,74,No,Yes,Yes,Yes,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,55668
1658-BYGOY,2,Churned,Yes,1,81,3179,Competitor,Competitor made better offer,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,Male,71,No,Yes,No,Yes,3,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,47534
4598-XLKNJ,2,Churned,Yes,1,88,5337,Dissatisfaction,Limited range of services,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494.00000000000006,2995.07,Female,78,No,Yes,Yes,Yes,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,27778
4846-WHAFZ,2,Churned,Yes,1,67,2793,Price,Extra data charges,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,Female,80,No,Yes,Yes,Yes,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,26265
4412-YLTKF,1,Churned,Yes,1,95,4638,Competitor,Competitor had better devices,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,Female,72,No,Yes,No,Yes,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,63288
0390-DCFDQ,2,Churned,Yes,1,76,3964,Other,Don't know,Yes,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,Female,76,No,Yes,Yes,Yes,2,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,21343
3445-HXXGF,1,Churned,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction,Yes,6,58,Offer B,No,0.0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,Male,66,No,Yes,Yes,No,0,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,10558
2656-FMOKZ,2,Churned,Yes,1,91,5717,Dissatisfaction,Limited range of services,No,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,Female,70,No,Yes,No,Yes,2,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,23742
2070-FNEXE,2,Churned,Yes,1,81,4419,Price,Lack of affordable download/upload speed,No,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,Female,77,No,Yes,No,Yes,2,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,32369
