CLTV,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,num_services,charge_per_service,is_new_customer,is_autopay,NPS
4039,No,0,63,Offer B,Yes,40.34,No,Yes,Fiber Optic,8,No,No,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,90.05,5817.0,0.0,0,2541.42,8358.42,Female,41,No,No,No,No,0,5,15.008333333333333,0,0,Detractor
4903,No,0,53,Offer B,Yes,27.56,Yes,Yes,Cable,26,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,71.85,3827.9,0.0,0,1460.6799999999998,5288.58,Male,61,No,No,Yes,Yes,3,7,8.98125,0,1,Passive
4881,No,0,25,,Yes,24.91,No,Yes,Fiber Optic,18,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,70.95,1767.35,0.0,20,622.75,2410.1,Male,52,No,No,No,No,0,1,35.475,0,0,Detractor
3204,No,0,1,Offer E,Yes,26.53,No,Yes,DSL,30,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.4,44.4,0.0,0,26.53,70.93,Female,58,No,No,No,No,0,2,14.8,1,0,Detractor
3091,No,0,40,,Yes,22.89,No,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,20.6,827.3,0.0,0,915.6,1742.9,Female,42,No,No,No,No,0,1,10.3,0,1,Detractor
6351,No,0,65,,Yes,33.11,Yes,Yes,Fiber Optic,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,110.0,7138.65,0.0,0,2152.15,9290.8,Male,61,No,No,No,No,0,9,11.0,0,0,Passive
3817,Yes,8,47,Offer B,Yes,39.52,Yes,Yes,Fiber Optic,30,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,78.9,3650.35,0.0,0,1857.44,5507.79,Male,32,No,No,Yes,No,0,4,15.78,0,1,Promoter
4190,Yes,6,25,Offer C,No,0.0,No,Yes,DSL,48,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,58.6,1502.65,4.48,0,0.0,1498.17,Female,27,Yes,No,Yes,No,0,7,7.325,0,0,Detractor
2118,No,0,15,,No,0.0,No,Yes,DSL,23,No,Yes,No,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,38.8,603.0,0.0,0,0.0,603.0,Female,49,No,No,No,No,0,4,7.76,0,0,Passive
3846,Yes,1,32,,Yes,12.35,No,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.4,641.15,0.0,0,395.2,1036.35,Female,57,No,No,Yes,No,0,1,9.7,0,1,Passive
2031,No,0,22,Offer D,Yes,19.72,Yes,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,One Year,Yes,Credit Card,76.0,1783.6,0.0,0,433.84,2217.44,Female,64,No,No,No,No,0,3,19.0,0,0,Passive
6469,No,0,53,,Yes,16.74,No,Yes,Fiber Optic,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,73.8,4003.85,0.0,0,887.2199999999999,4891.07,Female,75,No,Yes,No,No,0,3,18.45,0,0,Detractor
5636,No,0,1,,Yes,15.91,No,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.55,20.55,0.0,0,15.91,36.46,Male,53,No,No,No,No,0,1,10.275,1,1,Detractor
2868,No,0,12,,Yes,41.78,No,No,No internet,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.3,228.75,0.0,0,501.36,730.11,Female,58,No,No,No,No,0,1,9.65,1,0,Promoter
3074,No,0,10,,Yes,43.26,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.85,953.45,0.0,0,432.6,1386.05,Female,34,No,No,No,No,0,7,11.85625,1,1,Detractor
5308,No,0,71,,Yes,22.22,No,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.9,1355.1,42.18,0,1577.62,2890.54,Male,49,No,No,No,No,0,1,9.95,0,0,Detractor
4934,No,0,64,Offer B,Yes,14.39,Yes,Yes,DSL,7,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,86.55,5632.55,0.0,0,920.96,6553.51,Male,35,No,No,No,No,0,9,8.655,0,0,Passive
4497,No,0,12,Offer D,Yes,23.2,No,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.4,266.6,0.0,0,278.4,545.0,Female,53,No,No,No,No,0,1,10.2,1,0,Passive
6161,No,0,68,,Yes,32.99,No,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.6,1441.65,0.0,0,2243.32,3684.97,Female,37,No,No,No,No,0,1,9.8,0,0,Passive
2358,Yes,10,43,Offer B,Yes,7.63,No,Yes,Fiber Optic,20,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,86.1,3551.65,0.0,0,328.09,3879.74,Male,48,No,No,Yes,No,0,5,14.35,0,0,Detractor
5037,Yes,1,67,Offer A,Yes,3.2,Yes,Yes,DSL,23,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,86.15,5883.85,0.0,0,214.4,6098.25,Female,41,No,No,Yes,No,0,9,8.615,0,1,Promoter
2040,Yes,1,43,,Yes,4.59,Yes,Yes,Fiber Optic,5,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,94.3,3953.15,0.0,0,197.37,4150.52,Male,71,No,Yes,Yes,No,0,6,13.471428571428572,0,1,Detractor
5990,No,0,67,,No,0.0,No,Yes,DSL,11,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,53.4,3579.15,0.0,0,0.0,3579.15,Female,61,No,No,No,No,0,6,7.628571428571428,0,0,Promoter
5574,Yes,9,71,Offer A,Yes,18.99,Yes,No,No internet,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,23.9,1626.4,0.0,0,1348.29,2974.69,Male,39,No,No,Yes,Yes,1,2,7.966666666666666,0,0,Passive
2378,No,0,19,Offer D,Yes,14.48,Yes,No,No internet,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,24.1,439.2,0.0,0,275.12,714.3199999999999,Male,62,No,No,No,Yes,2,2,8.033333333333333,0,0,Passive
